IT_NO ID ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_GOODS_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL DEBT
121 128 1 0 1209.928255 -282.633517 29988 0.005701 0.560000 2360 2360 1242.583333
121 78 0 0 1438.052989 -99.056317 7135 0.005167 0.560000 2679 2679 1410.500000
121 77 0 0 1540.039596 -31.880404 0 0.004723 0.560000 2807 2807 1477.666667
121 39 0 0 1691.174154 -126.623792 6808 0.004694 0.560000 3189 3189 1679.166667
121 36 0 0 1431.403173 -32.996827 0 0.005135 0.560000 2615 2615 1376.916667
121 132 1 0 1455.167126 -185.572137 7342 0.004492 0.560000 2871 2871 1511.250000
121 86 1 0 2121.463252 -282.890755 32663 0.003626 0.560000 4082 4082 2149.333333
121 33 0 0 1552.625894 -238.840088 28365 0.005233 0.560000 2934 2934 1544.833333
121 126 0 0 1878.314557 -107.379566 12858 0.004394 0.560000 3445 3445 1813.500000
121 100 0 0 1735.820142 -256.013390 46795 0.004402 0.560000 3189 3189 1679.166667
121 149 0 0 1747.207457 -31.927908 12714 0.005066 0.560000 3062 3062 1612.000000
121 65 0 0 1577.898644 -65.667285 14204 0.005044 0.560000 2807 2807 1477.666667
121 35 0 0 1979.760701 -30.790164 9801 0.004701 0.560000 3508 3508 1847.083333
121 63 0 0 1602.289466 -87.262746 17620 0.004642 0.560000 2871 2871 1511.250000
121 112 0 0 2496.258298 -4.141702 0 0.004150 0.560000 4465 4465 500.958163
121 79 0 0 1660.865031 -107.386059 12761 0.004195 0.560000 3062 3062 1612.000000
121 45 0 0 1731.235850 -249.462878 45887 0.004246 0.560000 3189 3189 1679.166667
121 96 1 0 1657.812279 -167.589370 12848 0.003079 0.560000 3189 3189 1679.166667
121 83 1 0 1678.324926 -184.650455 14135 0.002921 0.560000 3253 3253 1712.750000
121 56 0 0 1829.501312 -157.591738 24023 0.003902 0.560000 3381 3381 1779.916667
121 129 0 0 1839.145031 -169.483593 21957 0.003617 0.560000 3445 3445 1813.500000
121 95 0 0 1535.449859 -215.110141 0 0.002698 0.560000 3126 3126 0.000000
