IT_NO TRANSACTION_QUANTITY AVG_GOODS_PRICE
3050 0 0.006321
3055 0 0.006321
3060 0 0.006321
3065 332000 0.006321
3070 0 0.006321
3075 0 0.006321
3080 0 0.006321
3085 332000 0.006321
3090 0 0.006321
3095 0 0.006321
3100 0 0.006321
3105 332000 0.006321
3110 0 0.006321
3115 0 0.006321
3120 0 0.006321
3125 332000 0.006321
3130 0 0.006321
3135 0 0.006321
3140 0 0.006321
3145 332000 0.006321
3150 0 0.006321
3155 0 0.006321
3160 0 0.006321
3165 332000 0.006321
3170 0 0.006321
3175 0 0.006321
3180 0 0.006321
3185 332000 0.006321
3190 0 0.006321
3195 0 0.006321
3200 0 0.006321
3205 332000 0.006321
3210 0 0.006321
3215 0 0.006321
3220 0 0.006321
3225 332000 0.006321
3230 0 0.006321
3235 0 0.006321
3240 0 0.006321
3245 332000 0.006321
3250 0 0.006321
3255 0 0.006321
3260 0 0.006321
3265 332000 0.006321
3270 0 0.006321
3275 0 0.006321
3280 0 0.006321
3285 332000 0.006321
3290 0 0.006321
3295 0 0.006321
3300 0 0.006321
3305 332000 0.006321
3310 0 0.006321
3315 0 0.006321
3320 0 0.006321
3325 332000 0.006321
3330 0 0.006321
3335 0 0.006321
3340 0 0.006321
3345 332000 0.006321
3350 0 0.006321
3355 0 0.006321
3360 0 0.006321
3365 332000 0.006321
3370 0 0.006321
3375 0 0.006321
3380 0 0.006321
3385 332000 0.006321
3390 0 0.006321
3395 0 0.006321
3400 0 0.006321
3405 332000 0.006321
3410 0 0.006321
3415 0 0.006321
3420 0 0.006321
3425 332000 0.006321
3430 0 0.006321
3435 0 0.006321
3440 0 0.006321
3445 332000 0.006321
3450 0 0.006321
3455 0 0.006321
3460 0 0.006321
3465 332000 0.006321
3470 0 0.006321
3475 0 0.006321
3480 0 0.006321
3485 332000 0.006321
3490 0 0.006321
3495 0 0.006321
3500 0 0.006321
3505 332000 0.006321
3510 0 0.006321
3515 0 0.006321
3520 0 0.006321
3525 332000 0.006321
3530 0 0.006321
3535 0 0.006321
3540 0 0.006321
3545 332000 0.006321
3550 0 0.006321
3555 0 0.006321
3560 0 0.006321
3565 332000 0.006321
3570 0 0.006321
3575 0 0.006321
3580 0 0.006321
3585 332000 0.006321
3590 0 0.006321
3595 0 0.006321
3600 0 0.006321
