IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
441 17 1 28 5 20
441 5 1 18 7 13
441 8 2 10 13 7
441 30 11 15 16 11
441 10 10 11 14 8
441 25 12 20 16 14
441 7 7 21 16 15
441 9 11 18 23 13
441 6 11 18 16 13
441 15 2 22 14 16
441 24 2 15 10 11
441 23 2 14 9 10
461 28 4 20 12 14
461 19 8 21 21 15
461 2 4 22 14 16
461 11 10 24 16 17
461 4 10 22 22 16
461 20 4 27 12 19
461 16 8 17 15 12
461 21 8 18 20 13
461 1 5 11 15 8
461 27 4 15 11 11
461 22 4 7 9 5
461 13 2 15 11 11
461 26 1 20 0 14
461 18 1 18 4 13
461 3 4 7 12 5
461 12 1 14 5 10
461 14 5 14 11 10
461 29 2 8 9 6
461 17 1 24 5 17
461 5 1 17 7 12
461 8 2 15 13 11
461 30 11 14 17 10
461 10 10 25 15 18
461 25 12 27 17 19
461 7 7 17 17 12
461 9 11 14 24 10
461 6 11 27 17 19
461 15 2 7 15 5
461 24 2 5 10 4
461 23 2 12 9 9
481 24 2 20 11 14
481 15 2 14 15 10
481 6 11 8 18 6
481 9 11 11 25 8
481 7 7 8 17 6
481 25 12 11 18 8
481 10 10 18 16 13
481 30 11 17 18 12
481 5 1 25 7 18
481 17 1 25 5 18
481 29 2 17 9 12
481 14 5 22 11 16
481 12 1 14 5 10
481 3 4 27 12 19
481 18 1 11 4 8
481 22 4 14 9 10
481 27 4 10 11 7
481 1 5 24 15 17
481 21 8 21 21 15
481 16 8 18 16 13
481 20 4 27 12 19
481 4 10 11 23 8
481 11 10 17 17 12
481 2 4 21 14 15
481 19 8 7 22 5
481 28 4 14 12 10
481 23 2 11 9 8
481 8 2 12 13 9
481 26 1 17 0 12
481 13 2 24 11 17
501 19 7 20 22 14
501 25 11 27 19 19
501 6 8 25 19 18
501 9 11 17 26 12
501 24 2 25 11 18
501 15 2 18 15 13
501 7 7 25 18 18
501 10 10 22 17 16
501 30 11 27 19 19
501 5 1 15 7 11
501 17 1 18 5 13
501 29 2 22 9 16
501 14 5 10 11 7
501 12 1 10 5 7
501 3 4 22 12 16
501 18 1 20 4 14
501 22 4 5 9 4
501 27 4 21 11 15
501 1 5 14 16 10
501 21 8 21 21 15
501 16 8 18 16 13
501 20 4 17 13 12
501 4 10 24 23 17
501 11 10 8 18 6
501 2 4 8 14 6
501 28 4 22 13 16
501 23 2 28 9 20
501 8 2 14 13 10
501 26 1 18 0 13
501 13 2 11 11 8
521 11 8 18 18 13
521 19 7 12 22 9
521 25 11 27 20 19
521 6 8 7 19 5
521 9 11 14 27 10
521 24 2 1 11 1
521 15 2 20 15 14
521 7 7 24 18 17
521 10 10 28 17 20
521 30 11 24 19 17
521 5 1 27 7 19
521 17 1 28 5 20
521 29 2 12 10 9
521 14 5 11 11 8
521 12 1 22 5 16
521 3 4 21 13 15
521 18 1 14 4 10
521 22 4 22 9 16
521 27 4 7 12 5
521 1 5 28 16 20
521 21 8 7 22 5
521 16 8 8 16 6
521 20 4 5 13 4
521 4 10 24 24 17
521 2 4 7 15 5
521 28 4 25 13 18
521 23 2 24 9 17
521 8 2 8 14 6
521 26 1 27 0 19
521 13 2 20 11 14
541 23 2 17 10 12
541 28 4 2 13 2
541 4 10 25 25 18
541 20 4 22 13 16
541 1 5 5 16 4
541 27 4 12 12 9
541 22 4 14 10 10
541 18 1 14 4 10
541 3 4 28 13 20
541 14 5 7 12 5
541 29 2 20 10 14
541 17 1 18 5 13
541 5 1 10 7 7
541 30 11 28 19 20
541 10 10 27 18 19
541 7 7 24 18 17
541 15 2 18 15 13
541 9 11 8 28 6
541 25 11 25 21 18
541 19 7 21 23 15
541 11 8 7 19 5
541 16 8 5 17 4
541 6 7 18 19 13
541 24 1 28 11 20
541 21 7 28 22 20
541 8 2 20 14 14
541 26 1 22 0 16
541 13 2 21 11 15
541 2 4 18 15 13
541 12 1 8 5 6
561 16 5 10 17 7
561 11 7 20 19 14
561 9 8 8 29 6
561 28 2 15 13 11
561 1 5 7 16 5
561 23 2 22 10 16
561 4 10 18 26 13
561 20 4 5 13 4
561 27 4 20 12 14
561 22 4 27 10 19
561 18 1 17 4 12
561 3 4 10 13 7
561 14 5 8 12 6
561 29 2 27 10 19
561 17 1 17 5 12
561 5 1 18 7 13
561 30 11 28 20 20
561 10 10 28 19 20
561 7 7 10 18 7
561 15 2 1 15 1
561 25 11 17 22 12
561 19 7 18 23 13
561 6 7 20 20 14
561 24 1 5 11 4
561 21 7 12 22 9
561 8 2 14 14 10
561 26 1 14 0 10
561 13 2 25 11 18
561 2 4 5 16 4
561 12 1 17 5 12
581 15 1 7 15 5
581 9 8 17 29 12
581 16 5 8 17 6
581 11 7 22 20 16
581 28 2 11 13 8
581 1 5 20 16 14
581 23 2 27 10 19
581 4 10 22 27 16
581 20 4 5 14 4
581 27 4 10 12 7
581 22 4 27 10 19
581 18 1 24 4 17
581 3 4 7 13 5
581 14 5 11 12 8
581 29 2 21 10 15
581 17 1 25 5 18
581 5 1 24 7 17
581 30 11 11 20 8
581 10 10 20 19 14
581 7 7 7 19 5
581 25 11 17 22 12
581 19 7 12 24 9
581 6 7 5 20 4
581 24 1 24 11 17
581 21 7 8 23 6
581 8 2 12 14 9
581 26 1 17 0 12
581 13 2 11 12 8
581 2 4 10 16 7
581 12 1 11 5 8
601 21 7 27 23 19
601 19 7 21 24 15
601 25 11 12 22 9
601 10 10 14 19 10
601 17 1 18 5 13
601 29 2 22 10 16
601 3 4 22 13 16
601 18 1 28 4 20
601 22 4 21 10 15
601 27 4 20 13 14
601 4 10 27 27 19
601 1 5 28 17 20
601 28 2 11 13 8
601 11 7 22 20 16
601 16 5 27 18 19
601 9 8 25 29 18
601 15 1 11 15 8
601 30 11 15 21 11
601 7 7 20 20 14
601 6 5 8 20 6
601 2 4 25 16 18
601 12 1 15 5 11
601 13 2 20 12 14
601 26 1 21 0 15
601 8 2 21 14 15
601 24 1 8 11 6
601 5 1 14 7 10
601 14 5 8 13 6
601 20 4 2 14 2
601 23 2 15 10 11
621 20 2 20 14 14
621 21 7 12 23 9
621 19 7 21 24 15
621 25 11 20 23 14
621 10 10 8 20 6
621 17 1 21 5 15
621 29 2 5 10 4
621 3 4 20 13 14
621 18 1 21 4 15
621 22 4 8 10 6
621 27 4 25 13 18
621 4 10 21 27 15
621 1 5 24 17 17
621 28 2 25 14 18
621 11 7 7 20 5
621 16 5 12 19 9
621 9 8 14 29 10
621 15 1 22 15 16
621 30 11 14 22 10
621 7 7 25 20 18
621 6 5 20 21 14
621 2 4 25 16 18
621 12 1 24 5 17
621 13 2 28 12 20
621 26 1 17 0 12
621 8 2 22 14 16
621 24 1 1 11 1
621 5 1 12 7 9
621 14 5 17 13 12
621 23 2 21 10 15
641 10 8 21 20 15
641 24 1 8 11 6
641 11 7 28 21 20
641 20 2 11 14 8
641 21 7 10 24 7
641 19 7 5 25 4
641 25 11 22 23 16
641 17 1 20 5 14
641 29 2 21 10 15
641 3 4 22 14 16
641 18 1 12 4 9
641 22 4 2 10 2
641 27 4 25 13 18
641 4 10 18 28 13
641 1 5 17 17 12
641 28 2 17 14 12
641 16 5 17 19 12
641 9 8 22 30 16
641 15 1 5 15 4
641 30 11 21 22 15
641 7 7 7 20 5
641 6 5 10 21 7
641 2 4 11 16 8
641 12 1 28 5 20
641 13 2 21 12 15
641 26 1 18 0 13
641 8 2 25 14 18
641 5 1 27 7 19
641 14 5 8 13 6
641 23 2 14 10 10
661 12 1 18 5 13
661 6 5 11 22 8
661 30 11 14 22 10
661 15 1 15 15 11
661 9 8 14 30 10
661 16 5 24 19 17
661 28 2 10 14 7
661 1 5 28 18 20
661 4 10 25 28 18
661 27 4 5 13 4
661 3 4 8 14 6
661 25 11 22 24 16
661 21 7 22 24 16
661 10 8 25 21 18
661 7 7 18 20 13
661 19 5 14 25 10
661 22 2 22 11 16
661 24 1 8 11 6
661 20 2 15 14 11
661 13 2 11 12 8
661 26 1 22 0 16
661 8 2 20 15 14
661 5 1 20 7 14
661 14 5 7 13 5
661 23 2 10 10 7
661 2 4 5 16 4
661 18 1 14 4 10
661 29 2 24 10 17
661 17 1 17 5 12
661 11 7 12 22 9
681 12 1 17 5 12
681 6 5 12 23 9
681 30 11 21 23 15
681 15 1 20 15 14
681 9 8 25 30 18
681 16 5 28 20 20
681 28 2 2 14 2
681 1 5 17 18 12
681 4 10 28 29 20
681 27 4 8 13 6
681 3 4 7 14 5
681 25 11 15 24 11
681 21 7 20 25 14
681 10 8 17 21 12
681 7 7 27 20 19
681 19 5 27 25 19
681 22 2 2 11 2
681 24 1 17 11 12
681 20 2 4 14 3
681 13 2 24 12 17
681 26 1 18 0 13
681 8 2 11 15 8
681 5 1 11 7 8
681 14 5 21 14 15
681 23 2 28 10 20
681 2 4 22 16 16
681 18 1 12 4 9
681 29 2 27 10 19
681 17 1 24 5 17
681 11 7 27 22 19
701 22 2 4 11 3
701 28 2 11 14 8
701 12 1 20 5 14
701 6 5 20 23 14
701 30 11 24 24 17
701 15 1 25 15 18
701 9 8 7 31 5
701 16 5 24 20 17
701 1 5 7 18 5
701 4 10 17 29 12
701 27 4 15 13 11
701 3 4 7 14 5
701 25 11 18 25 13
701 21 7 10 25 7
701 10 8 18 22 13
