IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
121 84 41 39 75347 38488
121 57 45 51 45688 50152
121 58 41 45 48654 44060
121 81 54 56 91902 55737
121 113 55 62 55000 61477
121 99 59 60 91972 59432
121 55 65 67 94946 66596
121 65 55 56 67950 55978
121 41 44 44 57778 43593
121 125 60 61 85307 60371
121 128 52 53 70074 52400
121 90 47 48 53214 47681
121 67 52 53 71806 52353
121 43 59 60 84644 59164
121 118 60 59 99913 58779
121 80 55 50 108824 49500
121 72 44 44 54102 43911
121 45 52 53 65607 52195
121 50 49 46 94873 45275
121 36 45 45 62271 44129
121 95 54 49 108220 48600
121 74 50 51 66531 50240
121 121 51 53 61679 52513
121 71 48 48 69808 47053
121 59 40 41 42624 40656
121 137 54 55 69740 54929
121 75 61 56 115342 55431
121 127 57 56 90759 55367
121 39 44 44 54733 43183
121 38 63 64 96317 63510
121 115 47 47 55734 46901
121 129 58 59 90870 58422
121 144 49 49 72710 48191
121 126 51 52 72204 51659
121 104 50 45 94260 45000
121 91 51 51 69428 50730
121 73 47 47 53488 46811
121 47 48 46 82090 45013
121 112 51 51 65751 50837
121 131 52 50 87242 49235
121 130 56 57 74428 56355
121 108 56 51 107355 50400
121 132 58 58 82496 57864
121 34 60 59 100726 58124
121 146 60 60 93288 59470
121 122 61 55 127344 54900
121 42 51 51 70483 50968
121 105 59 58 96248 57783
121 76 66 66 106141 65991
121 63 54 55 72277 54429
121 66 45 44 59948 43505
121 102 46 46 69763 45437
121 138 47 48 61362 47988
121 150 45 45 56367 44329
121 106 37 37 37000 37000
121 87 40 36 80000 36000
121 54 45 46 53373 45049
121 124 39 39 42313 38668
121 31 50 50 65824 49662
121 145 69 63 147516 62100
121 46 48 47 60184 46781
121 98 48 49 59498 48053
121 78 60 61 83678 60026
121 70 60 60 84465 59847
121 96 57 58 71969 57989
121 116 60 60 95058 59882
121 92 47 49 49687 48682
121 93 63 57 110269 56700
121 147 50 45 92648 45000
121 61 51 1 1000 55723
121 142 42 1 1000 45951
121 101 44 1 1000 47709
121 94 50 1 1000 53879
121 51 48 1 1000 52062
121 40 43 1 1000 42300
121 35 56 1 1000 55800
121 110 44 1 1000 43200
121 149 50 1 1000 49500
121 134 43 1 1000 42701
121 119 47 1 1000 46800
121 53 43 1 1000 42619
121 89 47 1 1000 46435
121 141 59 1 1000 58689
141 92 47 47 58331 46135
141 96 57 57 77827 56414
141 78 60 62 72839 61083
141 98 48 47 77405 46209
141 54 45 42 78303 41183
141 138 47 48 60834 47052
141 63 54 55 72228 54004
141 130 56 53 98727 52467
141 126 51 52 66019 51618
141 129 58 59 81189 58968
141 38 63 63 97106 62921
141 137 54 55 64225 54551
141 59 40 40 51105 39151
141 121 51 51 62521 50915
141 74 50 52 52652 51387
141 45 52 53 61797 52381
141 43 59 60 81868 59277
141 67 52 53 65762 52604
141 90 47 47 61958 46125
141 128 52 53 64760 52531
141 125 60 60 85750 59955
141 65 55 55 70836 54711
141 55 65 65 100860 64408
141 99 59 60 85843 59612
141 113 55 54 69474 53552
141 81 54 57 68303 56359
141 58 41 42 47507 41114
141 57 45 45 53776 44191
141 86 59 54 96586 53624
141 139 53 54 70667 53419
141 140 53 55 68085 54634
141 136 54 55 73971 54855
141 85 42 42 50471 41152
141 44 46 45 59921 44665
141 49 49 45 86450 44100
141 148 44 45 44397 44910
141 135 49 51 57127 50423
141 143 47 44 82379 43127
141 83 50 47 88603 46184
141 120 53 54 71397 53962
141 107 56 58 73677 57455
141 97 49 50 59312 49879
141 88 52 53 63509 52317
141 77 53 54 70760 53876
141 68 41 40 60303 39069
141 32 35 34 51563 33343
141 69 48 49 57046 48119
141 103 40 37 67879 36223
141 33 1 1 2000 900
141 82 53 54 66586 53728
141 56 39 39 39000 39000
141 123 47 48 53655 47645
141 100 49 49 63007 48941
141 41 44 45 48009 44976
141 72 44 45 51138 44296
141 36 45 46 53463 45880
141 71 48 50 56994 49281
141 39 44 45 52319 44241
141 115 47 47 62749 46298
141 144 49 51 62639 50007
141 91 51 52 63032 51639
141 73 47 47 57806 46568
141 112 51 51 71712 50403
141 132 58 59 80477 58201
141 146 60 62 73822 61946
141 42 51 48 91447 47862
141 76 66 69 84178 68196
141 102 46 49 48004 48175
141 150 45 46 50877 45549
141 106 37 37 38402 36859
141 124 39 37 62342 36560
141 31 50 51 58598 50722
141 70 60 61 83802 60066
141 116 60 61 91851 60320
141 52 37 41 37000 40857
141 64 33 37 33000 36390
141 37 50 54 68737 53636
141 79 51 53 65007 52577
141 62 45 48 49095 47136
141 60 44 47 66189 46054
141 48 62 65 93407 64625
141 109 45 51 45000 50983
141 117 39 43 39000 42666
141 133 58 61 73097 60290
141 111 56 58 78991 57867
141 114 45 49 45000 48666
141 84 39 43 39000 42634
141 118 59 61 82852 60706
141 80 50 56 50000 55882
141 50 46 51 46399 50847
141 95 49 55 49000 54922
141 75 56 61 68065 60727
141 127 56 58 80700 57005
141 104 45 50 45000 49926
141 47 46 49 55415 48667
141 131 50 53 64274 52296
141 108 51 55 74172 54318
141 34 59 62 72595 61813
141 122 55 61 74846 60249
141 105 58 61 73637 60261
141 66 44 46 44000 45594
141 87 36 41 36000 40400
141 145 63 72 63000 71451
141 46 47 47 61604 46858
141 93 57 60 80440 59982
141 147 45 50 47568 49508
141 61 1 1 1000 1000
141 142 1 1 1000 1000
141 101 1 1 1000 1000
141 94 1 1 1000 1000
141 51 1 1 1000 1000
141 40 1 1 1000 1000
141 35 1 1 1000 1000
141 110 1 1 1000 1000
141 149 1 1 1000 1000
141 134 1 1 1000 1000
141 119 1 1 1000 1000
141 53 1 1 1000 1000
141 89 1 1 1000 1000
141 141 1 1 1000 1000
161 147 45 45 51412 44615
161 93 57 58 79299 57114
161 145 63 58 100701 57989
161 87 36 36 36000 36000
161 66 44 44 48788 43521
161 105 58 57 90317 56332
161 122 55 55 75695 54915
161 34 59 58 82978 57961
161 108 51 53 59072 52510
161 131 50 50 64713 49956
161 47 46 46 56192 45922
161 104 45 43 69034 42289
161 127 56 57 74804 56589
161 75 56 55 81937 54612
161 95 49 48 66105 47289
161 50 46 45 56852 44954
161 80 50 46 80421 45873
161 118 59 60 78010 59484
161 84 39 39 45139 38386
