IT_NO ID ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_HOUSE_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL_CONSTRUCTION DEBT
241 22 0 0 1068.724609 -370.000000 6 99.974102 0.560000 1498 1498 0.000000
241 29 0 0 1083.646914 -655.000000 9 99.974102 0.560000 1498 1498 0.000000
241 13 0 0 1058.724609 -380.000000 6 99.974102 0.560000 1498 1498 0.000000
241 16 0 0 1438.595117 -500.000000 11 99.974102 0.560000 1498 1498 0.000000
241 10 0 0 1233.569219 -805.000000 12 99.974102 0.560000 1498 1498 0.000000
241 12 0 0 1063.750508 -275.000000 5 99.974102 0.560000 1498 1498 0.000000
241 17 0 0 1248.684479 -290.014231 7 99.974102 0.560000 1498 1498 0.000000
241 7 0 0 1333.646914 -405.000000 9 99.974102 0.560000 1498 1498 0.000000
241 24 0 0 1043.698711 -495.000000 7 99.974102 0.560000 1498 1498 0.000000
241 20 0 0 1113.724609 -325.000000 6 99.974102 0.560000 1498 1498 0.000000
241 6 0 0 1133.621016 -705.000000 10 99.974102 0.560000 1498 1498 0.000000
241 11 0 0 883.828203 -155.000000 2 99.974102 0.560000 1498 1498 0.000000
241 21 0 0 1111.246055 -27.556250 3 99.974102 0.560000 1498 1498 0.000000
301 18 0 0 1138.802305 -0.000000 3 99.974102 0.560000 1498 1498 671.666667
301 27 0 0 823.880000 -15.000000 0 99.974102 0.560000 1498 1498 0.000000
301 14 0 0 1338.595117 -600.000000 11 99.974102 0.560000 1498 1498 0.000000
301 30 0 0 988.595117 -950.000000 11 99.974102 0.560000 1498 1498 0.000000
301 8 0 0 1568.413828 -1070.000000 18 99.974102 0.560000 1498 1498 0.000000
301 12 0 0 1033.750508 -305.000000 5 99.974102 0.560000 1498 1498 0.000000
301 21 0 0 1096.246055 -42.556250 3 99.974102 0.560000 1498 1498 0.000000
301 11 0 0 868.828203 -170.000000 2 99.974102 0.560000 1498 1498 0.000000
301 6 0 0 1113.595117 -825.000000 11 99.974102 0.560000 1498 1498 0.000000
301 20 0 0 1098.724609 -340.000000 6 99.974102 0.560000 1498 1498 0.000000
301 24 0 0 1068.672812 -570.000000 8 99.974102 0.560000 1498 1498 0.000000
