IT_NO ID WAGE HOUSING_VALUE LIQUIDITY
1 416 5.000000 500.000000 14.478063
1 420 5.000000 500.000000 14.478063
1 421 5.000000 500.000000 14.478063
1 432 5.000000 500.000000 14.478063
1 436 5.000000 500.000000 14.478063
1 444 5.000000 500.000000 14.478063
1 445 5.000000 500.000000 14.478063
1 449 5.000000 500.000000 14.478063
1 456 5.000000 500.000000 14.478063
1 460 5.000000 500.000000 14.478063
1 461 5.000000 500.000000 14.478063
1 463 5.000000 500.000000 14.478063
1 470 5.000000 500.000000 14.478063
1 472 5.000000 500.000000 14.478063
1 479 5.000000 500.000000 14.478063
1 480 5.000000 500.000000 14.478063
1 495 5.000000 500.000000 14.478063
1 502 5.000000 500.000000 14.478063
1 517 5.000000 500.000000 14.478063
1 518 5.000000 500.000000 14.478063
1 530 5.000000 500.000000 14.478063
1 533 5.000000 500.000000 14.478063
1 550 5.000000 500.000000 14.478063
1 552 5.000000 500.000000 14.478063
1 575 5.000000 500.000000 14.478063
1 580 5.000000 500.000000 14.478063
1 581 5.000000 500.000000 14.478063
1 610 5.000000 500.000000 14.478063
1 618 5.000000 500.000000 14.478063
1 624 5.000000 500.000000 14.478063
1 627 5.000000 500.000000 14.478063
1 631 5.000000 500.000000 14.478063
1 642 5.000000 500.000000 14.478063
1 648 5.000000 500.000000 14.478063
1 657 5.000000 500.000000 14.478063
1 659 5.000000 500.000000 14.478063
1 666 5.000000 500.000000 14.478063
1 668 5.000000 500.000000 14.478063
1 677 5.000000 500.000000 14.478063
1 695 5.000000 500.000000 14.478063
1 700 5.000000 500.000000 14.478063
1 711 5.000000 500.000000 14.478063
1 714 5.000000 500.000000 14.478063
1 717 5.000000 500.000000 14.478063
1 724 5.000000 500.000000 14.478063
1 729 5.000000 500.000000 14.478063
1 814 0.000000 500.000000 -0.497083
1 813 0.000000 500.000000 -0.497083
1 791 0.000000 500.000000 -0.497083
1 784 0.000000 500.000000 -0.497083
1 782 0.000000 500.000000 -0.497083
1 772 0.000000 500.000000 -0.497083
1 759 0.000000 500.000000 -0.497083
1 744 0.000000 500.000000 -0.497083
1 767 0.000000 500.000000 50.000000
1 749 0.000000 500.000000 50.000000
1 745 0.000000 500.000000 -1.048934
1 748 0.000000 500.000000 -1.048934
1 752 0.000000 500.000000 -1.048934
1 753 0.000000 500.000000 -1.048934
1 755 0.000000 500.000000 -1.048934
1 756 0.000000 500.000000 -1.048934
1 757 0.000000 500.000000 -1.048934
1 758 0.000000 500.000000 -1.048934
1 760 0.000000 500.000000 -1.048934
1 761 0.000000 500.000000 -1.048934
1 762 0.000000 500.000000 -1.048934
1 763 0.000000 500.000000 -1.048934
1 764 0.000000 500.000000 -1.048934
1 765 0.000000 500.000000 -1.048934
1 766 0.000000 500.000000 -1.048934
1 768 0.000000 500.000000 -1.048934
1 769 0.000000 500.000000 -1.048934
1 771 0.000000 500.000000 -1.048934
1 773 0.000000 500.000000 -1.048934
