IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_GOODS_PRICE
501 4 5.097295 58 61 59000 0 58000 59380 0.005652
501 13 5.097295 55 56 54000 0 55000 55880 0.005664
501 10 5.097295 46 49 47000 0 46000 47140 0.005642
501 14 5.097295 57 59 57000 0 57000 58140 0.005651
501 7 5.097295 74 75 72000 0 74000 75040 0.005651
501 5 5.097295 60 60 59000 0 60000 60980 0.005645
521 12 5.099483 69 71 69000 0 69000 70380 0.005653
521 15 5.099483 58 61 59000 0 58000 59380 0.005646
521 9 5.099483 80 82 79000 0 80000 81380 0.005643
521 6 5.099483 76 78 76000 0 76000 77520 0.005644
521 8 5.099483 55 58 56000 0 55000 56320 0.005647
521 13 5.099483 55 56 55000 0 55000 56100 0.005667
521 10 5.099483 48 48 46000 0 48000 48520 0.005643
521 14 5.099483 59 59 57000 0 59000 59740 0.005652
521 7 5.099483 75 76 74000 0 75000 76280 0.005653
521 5 5.099483 59 61 60000 0 59000 60400 0.005648
521 4 5.099483 60 60 58000 0 60000 60760 0.005653
521 11 5.099483 46 46 44000 0 46000 46480 0.005668
541 15 5.100874 60 60 58000 0 60000 60760 0.005646
541 7 5.100874 77 77 75000 0 77000 78100 0.005653
541 12 5.100874 71 71 69000 0 71000 71980 0.005653
541 9 5.100874 82 82 80000 0 82000 83200 0.005644
541 6 5.100874 78 78 76000 0 78000 79120 0.005645
541 8 5.100874 57 57 55000 0 57000 57700 0.005647
541 10 5.100874 49 49 48000 0 49000 49760 0.005644
541 14 5.100874 60 60 59000 0 60000 60980 0.005653
541 5 5.100874 61 61 59000 0 61000 61780 0.005648
541 4 5.100874 61 61 60000 0 61000 62000 0.005653
541 11 5.100874 47 47 46000 0 47000 47720 0.005668
541 13 5.100874 57 57 55000 0 57000 57700 0.005666
561 15 5.101725 59 61 60000 0 59000 60400 0.005648
561 7 5.101725 75 79 77000 0 75000 76940 0.005655
561 12 5.101725 68 72 71000 0 68000 70020 0.005656
561 9 5.101725 83 84 82000 0 83000 84440 0.005644
561 6 5.101725 78 80 78000 0 78000 79560 0.005646
561 8 5.101725 57 58 57000 0 57000 58140 0.005648
561 10 5.101725 49 50 49000 0 49000 49980 0.005645
561 14 5.101725 60 61 60000 0 60000 61200 0.005653
561 5 5.101725 61 62 61000 0 61000 62220 0.005649
561 4 5.101725 61 62 61000 0 61000 62220 0.005654
561 13 5.101725 57 58 57000 0 57000 58140 0.005667
561 11 5.101725 48 48 47000 0 48000 48740 0.005668
581 15 5.102503 60 61 59000 0 60000 60980 0.005648
581 7 5.102503 77 77 75000 0 77000 78100 0.005655
581 12 5.102503 71 71 68000 0 71000 71760 0.005655
581 9 5.102503 81 85 83000 0 81000 83060 0.005646
581 6 5.102503 76 80 78000 0 76000 77960 0.005647
581 8 5.102503 58 59 57000 0 58000 58940 0.005649
581 10 5.102503 46 50 49000 0 46000 47580 0.005648
581 14 5.102503 60 62 60000 0 60000 61200 0.005654
581 5 5.102503 61 63 61000 0 61000 62220 0.005650
581 4 5.102503 58 63 61000 0 58000 59820 0.005657
581 13 5.102503 57 59 57000 0 57000 58140 0.005668
581 11 5.102503 45 49 48000 0 45000 46560 0.005672
601 6 5.103596 77 78 76000 0 77000 78320 0.005648
601 15 5.103596 58 61 60000 0 58000 59600 0.005651
601 7 5.103596 74 79 77000 0 74000 76140 0.005658
601 12 5.103596 70 72 71000 0 70000 71620 0.005657
601 9 5.103596 81 84 81000 0 81000 82620 0.005647
601 8 5.103596 58 59 58000 0 58000 59160 0.005650
601 10 5.103596 46 48 46000 0 46000 46920 0.005649
601 14 5.103596 59 62 60000 0 59000 60400 0.005656
601 5 5.103596 60 63 61000 0 60000 61420 0.005652
601 4 5.103596 58 60 58000 0 58000 59160 0.005659
601 13 5.103596 57 59 57000 0 57000 58140 0.005669
601 11 5.103596 45 47 45000 0 45000 45900 0.005673
621 6 5.105013 79 79 77000 0 79000 80140 0.005649
621 15 5.105013 60 60 58000 0 60000 60760 0.005651
621 7 5.105013 76 77 74000 0 76000 77080 0.005658
621 12 5.105013 68 72 70000 0 68000 69800 0.005660
621 9 5.105013 75 83 81000 0 75000 77820 0.005651
621 8 5.105013 57 60 58000 0 57000 58360 0.005652
621 10 5.105013 45 47 46000 0 45000 46120 0.005651
621 14 5.105013 60 61 59000 0 60000 60980 0.005657
621 5 5.105013 60 62 60000 0 60000 61200 0.005653
621 4 5.105013 58 60 58000 0 58000 59160 0.005660
621 13 5.105013 55 59 57000 0 55000 56540 0.005673
621 11 5.105013 46 46 45000 0 46000 46700 0.005674
641 6 5.105659 77 81 79000 0 77000 78980 0.005650
641 15 5.105659 60 61 60000 0 60000 61200 0.005652
641 7 5.105659 73 78 76000 0 73000 75120 0.005661
641 12 5.105659 69 70 68000 0 69000 70160 0.005660
641 9 5.105659 75 78 75000 0 75000 76500 0.005652
641 8 5.105659 58 59 57000 0 58000 58940 0.005652
641 10 5.105659 43 47 45000 0 43000 44300 0.005654
641 14 5.105659 59 61 60000 0 59000 60400 0.005658
641 5 5.105659 58 62 60000 0 58000 59600 0.005655
641 4 5.105659 56 60 58000 0 56000 57560 0.005662
641 11 5.105659 44 47 46000 0 44000 45320 0.005677
641 13 5.105659 57 57 55000 0 57000 57700 0.005671
