IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
2341 22 19294.153166 0.000000 5039.245611 14254.907555 47837.078353 52747.734300 -81290.659487
2341 21 17673.267212 0.000000 3861.945337 13811.321875 42871.137345 41436.456147 -66634.326280
2401 22 19214.128422 0.000000 5039.245611 14174.882811 48723.593238 51936.942999 -81446.407815
2401 21 17595.701648 0.000000 3861.945337 13733.756311 43822.891900 40513.515252 -66740.705504
2461 22 19070.757561 0.000000 5039.245611 14031.511949 49261.098480 51408.656429 -81598.997349
2461 21 17454.805336 0.000000 3861.945337 13592.859999 43767.304260 40530.850892 -66843.349816
2521 22 18990.086803 0.000000 5039.245611 13950.841192 50212.350746 50527.182567 -81749.446510
2521 21 17376.624594 0.000000 3861.945337 13514.679257 45202.601735 39120.589260 -66946.566400
2581 22 18730.921037 0.000000 5039.245611 13691.675426 50702.828985 49924.956500 -81896.864447
2581 21 17238.438099 0.000000 3861.945337 13376.492763 45604.425475 38677.607092 -67043.594468
2641 22 18477.645920 0.000000 5039.245611 13438.400309 51263.349470 49257.040031 -82042.743581
2641 21 16983.938910 0.000000 3861.945337 13121.993573 46891.543419 37231.902174 -67139.506683
2701 22 18377.264175 0.000000 5039.245611 13338.018564 52611.834980 47951.672338 -82186.243142
2701 21 16828.212037 0.000000 3861.945337 12966.266700 47176.217682 36881.452060 -67229.457705
2761 22 18131.312520 0.000000 5039.245611 13092.066908 53269.121005 47186.742690 -82324.551176
2761 21 16321.466132 0.000000 3861.945337 12459.520795 47794.951169 35846.829729 -67320.314766
2821 22 17510.350092 0.000000 5039.245611 12471.104481 54552.864149 45419.182483 -82461.696540
2821 21 15864.097238 0.000000 3861.945337 12002.151901 47707.550804 35565.285122 -67408.738687
2881 22 16949.214085 0.000000 5039.245611 11909.968474 54805.758973 44736.898057 -82593.442945
2881 21 15638.761461 0.000000 3861.945337 11776.816124 48702.584243 34433.423714 -67497.246496
2941 22 16582.315402 0.000000 5039.245611 11543.069791 55654.483047 43652.600513 -82724.768158
2941 21 15092.196386 0.000000 3861.945337 11230.251049 49430.153492 33244.700740 -67582.657846
3001 22 16162.718869 0.000000 5039.245611 11123.473258 55735.720074 43280.041128 -82853.042333
3001 21 14735.081265 0.000000 3861.945337 10873.135929 50852.081326 31547.776614 -67664.776675
3061 22 15866.173734 0.000000 5039.245611 10826.928123 57039.976787 41808.271808 -82982.074861
3061 21 14556.137701 0.000000 3861.945337 10694.192364 51816.376288 30480.401334 -67740.639920
3121 22 15268.100201 0.000000 5039.245611 10228.854590 57905.683539 40468.830780 -83106.414118
3121 21 14088.828760 0.000000 3861.945337 10226.883423 52293.522785 29608.793464 -67813.487489
3181 22 14840.461626 0.000000 5039.245611 9801.216015 59173.523445 38894.583935 -83227.645754
3181 21 14003.288474 0.000000 3861.945337 10141.343138 53108.787749 28777.741376 -67883.240650
3241 22 14421.088466 0.000000 5039.245611 9381.842855 60286.102333 37478.835439 -83343.849306
3241 21 13729.679308 0.000000 3861.945337 9867.733972 53857.323776 27822.548114 -67950.192582
3301 22 13925.400356 0.000000 5039.245611 8886.154745 61479.050625 35901.439383 -83455.089653
3301 21 13553.583460 0.000000 3861.945337 9691.638123 54244.824661 27322.270643 -68013.511844
3361 22 13598.946957 0.000000 5039.245611 8559.701346 62061.499810 35098.929725 -83561.482578
3361 21 13024.638830 0.000000 3861.945337 9162.693493 55448.455182 25652.904823 -68076.721175
3421 22 13273.938923 0.000000 5039.245611 8234.693312 62187.823342 34751.510292 -83665.394711
3421 21 12432.692770 0.000000 3861.945337 8570.747433 56564.920106 24003.418457 -68135.645793
3481 22 13029.237087 0.000000 5039.245611 7989.991476 63387.167256 33411.276763 -83769.206932
3481 21 11897.881167 0.000000 3861.945337 8035.935830 57311.714854 22775.477530 -68189.311217
3541 22 12718.840835 0.000000 5039.245611 7679.595223 64466.886548 32120.416154 -83868.461868
3541 21 11507.964370 0.000000 3861.945337 7646.019033 57748.648302 21999.322222 -68240.006154
3601 22 12210.669662 0.000000 5039.245611 7171.424051 65042.925839 31131.354404 -83963.610581
3601 21 11086.772232 0.000000 3861.945337 7224.826895 58571.048272 20804.801183 -68289.077222
3661 22 11715.901857 0.000000 5039.245611 6676.656246 65601.520880 30171.252427 -84056.871449
3661 21 10658.613972 0.000000 3861.945337 6796.668635 59249.087938 19744.434630 -68334.908596
3721 22 11248.895793 0.000000 5039.245611 6209.650182 66376.967334 29020.788875 -84148.860416
3721 21 10266.910918 0.000000 3861.945337 6404.965582 59297.041414 19347.595294 -68377.725790
3781 22 10933.153219 0.000000 5039.245611 5893.907608 67116.930100 28053.488253 -84237.265134
3781 21 9887.678621 0.000000 3861.945337 6025.733284 60404.252417 17904.508776 -68421.082573
3841 22 10606.747421 0.000000 5039.245611 5567.501810 67840.850136 27088.621883 -84322.724598
3841 21 9746.155822 0.000000 3861.945337 5884.210485 61124.609063 17080.281671 -68458.734912
3901 22 10305.326237 0.000000 5039.245611 5266.080625 68947.950892 25762.297965 -84404.922620
3901 21 9472.841827 0.000000 3861.945337 5610.896490 62215.446950 15750.744881 -68493.350005
3961 22 9919.049676 0.000000 5039.245611 4879.804065 69114.611850 25287.602684 -84483.164858
3961 21 8673.497375 0.000000 3861.945337 4811.552038 63039.974635 14158.771025 -68525.248284
4021 22 9604.412594 0.000000 5039.245611 4565.166982 70430.749387 23734.862721 -84561.199515
4021 21 8442.327804 0.000000 3861.945337 4580.382467 63880.932672 13113.723532 -68552.328400
4081 22 9508.736426 0.000000 5039.245611 4469.490815 71408.761333 22732.543227 -84632.568134
4081 21 7990.066092 0.000000 3861.945337 4128.120755 64783.410155 11782.810024 -68576.154087
4141 22 9256.902328 0.000000 5039.245611 4217.656717 71465.751314 22491.209350 -84700.058336
4141 21 7702.241936 0.000000 3861.945337 3840.296599 66037.384546 10260.176961 -68595.319571
4201 22 8897.620767 0.000000 5039.245611 3858.375156 72453.948630 21211.448834 -84767.776696
