IT_NO ID MORTGAGES LOANS DEPOSITS INTERESTS_ACCRUED TOTAL_WRITEOFFS
27 21 1171258.527131 9913.583333 1101897.323359 614.900707 531.167589
27 22 1081893.727871 14480.250000 1003048.660500 724.067674 177.055863
28 21 1171258.527131 9913.583333 1101897.323359 614.900707 531.167589
28 22 1081893.727871 14480.250000 1003048.660500 724.067674 177.055863
29 21 1171258.527131 9913.583333 1101897.323359 614.900707 531.167589
29 22 1081893.727871 14480.250000 1003048.660500 724.067674 177.055863
30 21 1171258.527131 9913.583333 1101794.004076 614.900707 531.167589
30 22 1081893.727871 14480.250000 1002942.401462 724.067674 177.055863
31 21 1171258.527131 9913.583333 1101794.004076 614.900707 531.167589
31 22 1081893.727871 14480.250000 1002942.401462 724.067674 177.055863
32 21 1171258.527131 9913.583333 1101794.004076 614.900707 531.167589
32 22 1081893.727871 14480.250000 1002942.401462 724.067674 177.055863
33 21 1171258.527131 9913.583333 1101794.004076 614.900707 531.167589
33 22 1081893.727871 14480.250000 1002942.401462 724.067674 177.055863
34 21 1171258.527131 9913.583333 1101794.004076 614.900707 531.167589
34 22 1081893.727871 14480.250000 1002942.401462 724.067674 177.055863
35 21 1171258.527131 9913.583333 1101715.634816 614.900707 531.167589
35 22 1081893.727871 14480.250000 1002852.511381 724.067674 177.055863
36 21 1171258.527131 9913.583333 1101715.634816 614.900707 531.167589
36 22 1081893.727871 14480.250000 1002852.511381 724.067674 177.055863
37 21 1171258.527131 9913.583333 1101715.634816 614.900707 531.167589
37 22 1081893.727871 14480.250000 1002852.511381 724.067674 177.055863
38 21 1171258.527131 9913.583333 1101715.634816 614.900707 531.167589
38 22 1081893.727871 14480.250000 1002852.511381 724.067674 177.055863
39 21 1171258.527131 9913.583333 1101715.634816 614.900707 531.167589
39 22 1081893.727871 14480.250000 1002852.511381 724.067674 177.055863
40 21 1171258.527131 9913.583333 1102381.945166 614.900707 531.167589
40 22 1081893.727871 14480.250000 1003399.486127 724.067674 177.055863
41 21 1169251.417290 9913.583333 1102381.945166 875.307739 2379.492242
41 22 1078127.894646 14480.250000 1003399.486127 1020.462656 3605.092409
42 21 1169251.417290 9913.583333 1102381.945166 875.307739 2379.492242
42 22 1078127.894646 14480.250000 1003399.486127 1020.462656 3605.092409
43 21 1169251.417290 9913.583333 1102381.945166 875.307739 2379.492242
43 22 1078127.894646 14480.250000 1003399.486127 1020.462656 3605.092409
44 21 1169251.417290 9913.583333 1102381.945166 875.307739 2379.492242
44 22 1078127.894646 14480.250000 1003399.486127 1020.462656 3605.092409
45 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
45 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
46 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
46 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
47 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
47 22 1078127.894646 14480.250000 1003002.018355 1020.462656 3605.092409
48 21 1169251.417290 9913.583333 1100221.898240 875.307739 2379.492242
