IT_NO ID TOTAL_ASSETS LIQUIDITY HOUSING_VALUE CAPITAL_INCOME MORTGAGES HOUSING_PAYMENT EQUITY
1 186 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 187 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 188 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 189 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 190 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 191 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 192 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 193 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 194 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 195 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 196 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 197 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 198 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 199 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 200 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 201 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 202 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 203 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 204 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 205 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 206 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 207 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 208 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 209 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 210 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 211 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 212 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 213 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 214 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 215 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 216 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 217 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 218 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 219 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 220 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 221 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 222 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 223 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 224 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 225 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 226 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 227 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 228 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 229 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 230 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 231 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 232 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 233 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 234 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 235 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 236 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 237 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 238 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 239 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 240 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 241 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
1 242 515.000000 15.000000 500.000000 0.000000 257.500000 2.050968 257.500000
