IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_GOODS_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL DEBT EQUITY
361 8 0 0 0 0.000000 0 0 1871.135472 0.000000 5972 0.006124 0.560000 3276 3276 1511.250000 359.885472
361 5 0 0 0 0.000000 0 0 2194.704782 -0.000000 32152 0.006133 0.560000 3567 3567 1645.583333 549.121449
361 4 0 0 0 0.000000 0 0 2282.560000 0.000000 0 0.006116 0.560000 4076 4076 1880.666667 401.893333
361 15 0 0 0 0.000000 0 0 2024.550604 -0.000000 24453 0.006121 0.560000 3348 3348 1544.833333 479.717270
361 12 0 0 0 0.000000 0 0 3003.800607 -0.000000 58022 0.006109 0.560000 4731 4731 2278.701652 725.098955
361 9 0 0 0 0.000000 0 0 2414.875214 0.000000 8283 0.006103 0.560000 4222 4222 1947.833333 467.041881
421 12 0 0 0 0.000000 0 0 2843.394606 -0.000000 31704 0.006120 0.560000 4731 4731 2278.701652 564.692954
421 5 0 0 0 0.000000 0 0 1997.520000 -0.000000 0 0.006143 0.560000 3567 3567 1645.583333 351.936667
421 15 0 0 0 0.000000 0 0 1874.880000 -0.000000 0 0.006125 0.560000 3348 3348 1544.833333 330.046667
421 8 0 0 0 0.000000 0 0 1834.560000 0.000000 0 0.006099 0.560000 3276 3276 1511.250000 323.310000
421 4 0 0 0 0.000000 0 0 2282.560000 0.000000 0 0.006177 0.560000 4076 4076 1880.666667 401.893333
421 14 0 0 0 0.000000 0 0 2201.360000 0.000000 0 0.006142 0.560000 3931 3931 1813.500000 387.860000
421 7 0 0 0 0.000000 0 0 2853.200000 0.000000 0 0.006214 0.560000 5095 5095 2350.833333 502.366667
421 10 0 0 0 0.000000 0 0 1426.880000 0.000000 0 0.006072 0.560000 2548 2548 1175.416667 251.463333
421 11 0 0 0 0.000000 0 0 2385.494460 0.000000 3469 0.006104 0.560000 4222 4222 1965.792754 419.701706
421 13 0 0 0 0.000000 0 0 3085.835676 0.000000 51266 0.006122 0.560000 4950 4950 2394.089484 691.746193
421 6 0 0 0 0.000000 0 0 2323.440000 -0.000000 0 0.006187 0.560000 4149 4149 1914.250000 409.190000
421 9 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006157 0.560000 4222 4222 1947.833333 416.486667
481 13 0 0 0 0.000000 0 0 2772.000000 -0.000000 0 0.006218 0.560000 4950 4950 2394.089484 377.910516
481 14 0 0 0 0.000000 0 0 2201.360000 0.000000 0 0.006166 0.560000 3931 3931 1813.500000 387.860000
481 5 0 0 0 0.000000 0 0 1997.520000 -0.000000 0 0.006151 0.560000 3567 3567 1645.583333 351.936667
481 8 0 0 0 0.000000 0 0 1834.560000 0.000000 0 0.006132 0.560000 3276 3276 1511.250000 323.310000
481 6 0 0 0 0.000000 0 0 2323.440000 -0.000000 0 0.006147 0.560000 4149 4149 1914.250000 409.190000
481 9 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006192 0.560000 4222 4222 1947.833333 416.486667
481 11 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006194 0.560000 4222 4222 1965.792754 398.527246
481 10 0 0 0 0.000000 0 0 1426.880000 0.000000 0 0.006112 0.560000 2548 2548 1175.416667 251.463333
481 7 0 0 0 0.000000 0 0 2853.200000 0.000000 0 0.006157 0.560000 5095 5095 2350.833333 502.366667
481 4 0 0 0 0.000000 0 0 2282.560000 -0.000000 0 0.006199 0.560000 4076 4076 1880.666667 401.893333
