IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_HOUSE_PRICE
1101 2 5.107442 10 9 1 4 1 6 135.372300
1101 3 5.107442 3 22 2 3 1 15 135.372300
1101 1 5.108594 5 20 1 3 1 14 135.372300
1121 2 5.107442 9 12 1 4 1 8 135.829182
1121 1 5.103238 20 26 2 2 1 18 135.829182
1121 3 5.103238 22 29 1 3 1 20 135.829182
1141 3 5.113855 29 23 1 4 2 16 135.854150
1141 1 5.113855 26 16 1 2 1 11 135.854150
1141 2 5.113855 12 29 1 4 1 20 135.854150
1161 2 5.121753 29 2 0 5 1 1 135.850754
1161 3 5.113855 23 9 0 4 0 6 135.850754
1161 1 5.113855 16 5 0 4 2 3 135.850754
1181 1 5.113855 5 13 0 4 0 9 136.422459
1181 3 5.113855 9 26 0 4 0 18 136.422459
1181 2 5.121753 2 19 1 4 0 13 136.422459
1201 2 5.124864 19 19 1 4 1 13 136.667217
1201 3 5.124864 26 23 3 2 1 16 136.667217
1201 1 5.124864 13 28 2 3 1 19 136.667217
1221 3 5.124864 23 15 1 3 2 10 136.821365
1221 1 5.132321 28 29 0 4 1 20 136.821365
1221 2 5.124864 19 28 1 4 1 19 136.821365
1241 3 5.124864 15 19 1 4 2 13 137.256574
1241 1 5.135559 29 23 2 3 1 16 137.256574
1241 2 5.135559 28 23 1 4 1 16 137.256574
1261 1 5.135559 23 19 1 3 1 13 137.460552
1261 2 5.135559 23 16 2 4 2 11 137.460552
1261 3 5.137744 19 13 2 2 0 9 137.460552
1281 3 5.137744 13 23 1 2 1 16 137.693253
1281 1 5.135559 19 23 1 3 1 16 137.693253
1281 2 5.135559 16 10 0 5 1 7 137.693253
1301 2 5.135559 10 20 1 4 0 14 138.211689
1301 3 5.138824 23 19 1 2 1 13 138.211689
1301 1 5.138824 23 12 1 4 2 8 138.211689
1321 1 5.138824 12 18 1 4 1 12 138.667788
1321 3 5.138824 19 26 1 2 1 18 138.667788
1321 2 5.136892 20 26 0 5 1 18 138.667788
1341 1 5.133808 18 10 1 4 1 7 138.913923
1341 3 5.133808 26 29 0 4 2 20 138.913923
1341 2 5.133808 26 13 0 7 2 9 138.913923
1361 2 5.133808 13 18 3 6 2 12 139.279327
1361 1 5.133808 10 26 0 5 1 18 139.279327
1361 3 5.135811 29 12 0 6 2 8 139.279327
1381 1 5.131786 26 25 0 7 2 17 139.492599
1381 2 5.131786 18 22 0 6 0 15 139.492599
1381 3 5.135811 12 15 0 6 0 10 139.492599
1401 2 5.131579 22 16 1 6 1 11 139.666964
1401 3 5.131579 15 28 0 7 1 19 139.666964
1401 1 5.131786 25 26 2 6 1 18 139.666964
1421 1 5.131347 26 19 1 6 1 13 139.815360
1421 3 5.131347 28 28 0 7 0 19 139.815360
1421 2 5.131579 16 26 3 4 1 18 139.815360
1441 1 5.131347 19 12 1 6 1 8 139.965456
1441 2 5.139031 26 22 3 3 2 15 139.965456
1441 3 5.131347 28 29 2 7 2 20 139.965456
1461 3 5.142546 29 16 3 6 2 11 140.127141
1461 1 5.131347 12 22 3 4 1 15 140.127141
1461 2 5.139031 22 28 0 3 0 19 140.127141
1481 2 5.143397 28 23 0 5 2 16 140.294515
1481 1 5.143397 22 16 0 4 0 11 140.294515
1481 3 5.142546 16 29 3 5 2 20 140.294515
1501 3 5.147208 29 15 0 6 1 10 140.666963
1501 1 5.143397 16 28 3 3 2 19 140.666963
1501 2 5.143397 23 25 2 4 1 17 140.666963
1521 2 5.149623 25 23 2 3 1 16 141.061612
1521 1 5.149623 28 13 1 3 1 9 141.061612
1521 3 5.147208 15 26 2 5 1 18 141.061612
1541 1 5.149623 13 22 1 3 1 15 141.250534
1541 3 5.152296 26 26 1 5 1 18 141.250534
1541 2 5.149623 23 29 0 5 2 20 141.250534
1561 3 5.152296 26 22 1 5 1 15 141.761861
1561 2 5.153825 29 29 1 6 2 20 141.761861
1561 1 5.153825 22 13 0 5 2 9 141.761861
1581 2 5.153825 29 16 1 7 2 11 142.003781
1581 3 5.152296 22 16 2 5 2 11 142.003781
1581 1 5.153825 13 26 2 4 1 18 142.003781
1601 3 5.152296 16 18 1 6 2 12 142.158026
1601 1 5.157379 26 28 0 4 0 19 142.158026
1601 2 5.153825 16 23 2 6 1 16 142.158026
