IT_NO ID REVENUES OPERATING_COSTS LABOUR_COSTS TOTAL_INTEREST_PAYMENTS EBIT NET_EARNINGS
3241 3 0.000000 356.489469 350.197256 6.292213 -350.197256 -356.489469
3241 1 401.084200 332.165824 324.449591 7.716233 76.634609 68.918377
3301 1 802.562323 260.070476 252.354244 7.716233 550.208079 542.491846
3301 2 200.592236 269.406202 262.655200 6.751002 -62.062964 -68.813966
3301 3 0.000000 259.983378 252.354329 7.629049 -252.354329 -259.983378
3361 1 0.000000 393.995751 386.279519 7.716233 -386.279519 -393.995751
3361 3 0.000000 281.574792 272.970806 8.603986 -272.970806 -281.574792
3361 2 200.685368 259.376684 252.367629 7.009054 -51.682261 -58.691316
3421 1 602.520290 271.873267 262.679550 9.193717 339.840740 330.647023
3421 2 401.659288 254.456645 247.227498 7.229147 154.431790 147.202643
3421 3 401.596538 308.392695 298.732803 9.659892 102.863735 93.203843
3481 3 0.000000 313.553546 303.893654 9.659892 -303.893654 -313.553546
3481 2 200.835917 280.213828 272.984681 7.229147 -72.148764 -79.377911
3481 1 0.000000 230.678117 221.484400 9.193717 -221.484400 -230.678117
3541 3 0.000000 381.707944 370.872226 10.835718 -370.872226 -381.707944
3541 2 0.000000 270.227350 262.700536 7.526814 -262.700536 -270.227350
3541 1 200.835917 288.211833 278.153073 10.058760 -77.317156 -87.375916
