IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_HOUSE_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL_CONSTRUCTION DEBT EQUITY
2521 2 1 0 1 0.000000 0 0 15961.247830 0.000000 130 117.868060 0.560000 1140 1140 0.000000 15961.247830
2521 1 1 0 0 12302.799099 0 1 3422.712610 -12302.799099 128 117.868060 0.560000 1140 1140 0.000000 3422.712610
2521 3 1 0 0 14556.010074 0 1 1523.105816 -14556.010074 131 117.868060 0.560000 1140 1140 0.000000 1523.105816
2581 2 1 0 1 0.000000 0 0 16550.588131 0.000000 135 117.868060 0.560000 1140 1140 0.000000 16550.588131
2581 1 1 0 0 12853.340709 0 1 3225.775181 -12853.340709 131 117.868060 0.560000 1140 1140 0.000000 3225.775181
2581 3 1 0 0 15111.782202 0 1 1320.937869 -15111.782202 134 117.868060 0.560000 1140 1140 0.000000 1320.937869
2641 2 1 0 1 0.000000 0 0 16786.324252 0.000000 137 117.868060 0.560000 1140 1140 0.000000 16786.324252
2641 3 1 0 0 15554.122419 0 1 1350.069892 -15554.122419 138 117.868060 0.560000 1140 1140 0.000000 1350.069892
2641 1 1 0 0 13331.535565 0 1 3219.052567 -13331.535565 135 117.868060 0.560000 1140 1140 0.000000 3219.052567
2701 2 1 0 1 0.000000 0 0 17139.928432 0.000000 140 117.868060 0.560000 1140 1140 0.000000 17139.928432
2701 1 1 0 0 13944.200838 0 1 3077.859534 -13944.200838 139 117.868060 0.560000 1140 1140 0.000000 3077.859534
2701 3 1 0 0 16084.261110 0 1 1055.667322 -16084.261110 140 117.868060 0.560000 1140 1140 0.000000 1055.667322
2761 2 1 0 1 0.000000 0 0 17493.532613 0.000000 143 117.868060 0.560000 1140 1140 0.000000 17493.532613
2761 3 1 0 0 16510.975269 0 1 1100.425404 -16510.975269 144 117.868060 0.560000 1140 1140 0.000000 1100.425404
2761 1 1 0 0 14538.373424 0 1 2719.423069 -14538.373424 141 117.868060 0.560000 1140 1140 0.000000 2719.423069
2821 2 1 0 1 0.000000 0 0 17847.136794 0.000000 146 117.868060 0.560000 1140 1140 0.000000 17847.136794
