IT_NO ID DIVIDENDS_PAID DIVIDENDS_TO_BE_PAID
2341 13 0.000000 0.000000
2341 7 47.294018 47.294018
2341 11 0.000000 0.000000
2341 4 6.814732 6.814732
2341 8 0.000000 0.000000
2341 15 0.000000 0.000000
2401 6 207.000000 207.000000
2401 13 245.000000 245.000000
2401 7 183.456408 183.456408
2401 11 198.730438 198.730438
2401 4 215.705250 215.705250
2401 10 0.000000 0.000000
2401 9 0.000000 0.000000
2401 8 0.000000 0.000000
2401 15 0.000000 0.000000
2401 5 0.000000 0.000000
2401 14 0.000000 0.000000
2401 12 0.000000 0.000000
2461 10 146.398303 146.398303
2461 9 206.305261 206.305261
2461 8 362.293125 362.293125
2461 14 257.171786 257.171786
2461 12 184.490444 184.490444
2461 13 0.000000 0.000000
2461 11 0.000000 0.000000
2461 4 0.000000 0.000000
2461 15 0.000000 0.000000
2461 5 0.000000 0.000000
2461 7 0.000000 0.000000
2461 6 0.000000 0.000000
2521 10 352.564917 352.564917
2521 11 200.230438 200.230438
2521 4 200.205250 200.205250
2521 15 254.160156 254.160156
2521 7 288.456408 288.456408
2521 8 0.000000 0.000000
2521 14 36.850247 36.850247
2521 5 0.000000 0.000000
2521 13 57.000000 57.000000
2521 6 0.000000 0.000000
2521 12 0.000000 0.000000
2521 9 0.000000 0.000000
2581 8 190.523385 190.523385
2581 14 225.844368 225.844368
2581 5 211.406877 211.406877
2581 9 218.507471 218.507471
2581 13 211.830000 211.830000
2581 15 0.000000 0.000000
2581 6 0.000000 0.000000
2581 12 0.000000 0.000000
2581 7 0.000000 0.000000
2581 4 0.000000 0.000000
2581 11 0.000000 0.000000
2581 10 0.000000 0.000000
2641 15 242.660156 242.660156
2641 6 237.500000 237.500000
2641 7 293.956408 293.956408
2641 4 327.705250 327.705250
2641 11 224.230438 224.230438
2641 10 307.731610 307.731610
2641 8 9.943673 9.943673
2641 5 0.000000 0.000000
2641 12 0.000000 0.000000
2641 14 0.000000 0.000000
2641 9 0.000000 0.000000
2641 13 0.000000 0.000000
2701 8 248.233529 248.233529
2701 5 261.900335 261.900335
2701 12 248.868724 248.868724
2701 14 284.807075 284.807075
2701 9 273.882846 273.882846
2701 4 0.000000 0.000000
2701 11 0.000000 0.000000
2701 10 0.000000 0.000000
2701 7 0.000000 0.000000
2701 6 0.000000 0.000000
2701 15 0.000000 0.000000
2701 13 264.142343 264.142343
2761 11 287.728047 287.728047
2761 7 254.510987 254.510987
2761 15 254.199103 254.199103
2761 8 60.233529 60.233529
2761 5 0.000000 0.000000
2761 4 289.260298 289.260298
2761 12 0.000000 0.000000
2761 14 0.000000 0.000000
2761 9 0.000000 0.000000
2761 13 0.000000 0.000000
2761 6 298.662804 298.662804
2761 10 238.784023 238.784023
2821 8 152.733529 152.733529
2821 5 317.400335 317.400335
2821 9 334.880689 334.880689
2821 13 319.072310 319.072310
2821 11 84.865405 84.865405
2821 12 0.000000 0.000000
2821 10 0.000000 0.000000
2821 6 0.000000 0.000000
2821 4 0.000000 0.000000
2821 7 0.000000 0.000000
2821 14 0.000000 0.000000
2881 4 256.260298 256.260298
2881 8 94.233529 94.233529
2881 5 122.400335 122.400335
2881 12 0.000000 0.000000
2881 11 174.796726 174.796726
2881 6 0.000000 0.000000
2881 7 0.000000 0.000000
2881 15 0.000000 0.000000
2881 10 0.000000 0.000000
2881 13 0.000000 0.000000
2881 14 0.000000 0.000000
2941 14 120.213923 120.213923
2941 5 145.400335 145.400335
2941 12 327.072999 327.072999
2941 11 104.796726 104.796726
2941 15 184.500000 184.500000
2941 8 0.000000 0.000000
2941 6 30.079756 30.079756
2941 7 9.388056 9.388056
2941 10 43.284023 43.284023
2941 9 0.000000 0.000000
2941 13 0.000000 0.000000
2941 4 0.000000 0.000000
3001 12 229.940991 229.940991
3001 8 121.233529 121.233529
3001 7 211.586180 211.586180
3001 9 246.983000 246.983000
3001 13 252.780409 252.780409
3001 6 7.008438 7.008438
3001 10 35.784023 35.784023
3001 4 0.000000 0.000000
3001 15 0.000000 0.000000
3001 11 0.000000 0.000000
3001 5 0.000000 0.000000
3001 14 0.000000 0.000000
3061 6 251.741729 251.741729
3061 15 254.000000 254.000000
3061 11 144.796726 144.796726
3061 14 246.167784 246.167784
3061 12 0.000000 0.000000
3061 7 0.000000 0.000000
3061 13 0.000000 0.000000
3061 4 0.000000 0.000000
3061 10 61.784023 61.784023
3061 5 0.000000 0.000000
3061 9 0.000000 0.000000
3061 8 0.000000 0.000000
3121 15 149.963000 149.963000
3121 10 343.194594 343.194594
3121 12 222.907507 222.907507
3121 7 243.514484 243.514484
3121 13 120.944494 120.944494
3121 4 232.873872 232.873872
3121 6 61.800458 61.800458
3121 5 0.000000 0.000000
3121 8 0.000000 0.000000
3121 9 0.000000 0.000000
3121 14 0.000000 0.000000
3121 11 0.000000 0.000000
3181 12 223.020290 223.020290
3181 4 197.927618 197.927618
3181 5 209.900335 209.900335
3181 9 314.713500 314.713500
3181 14 236.387753 236.387753
3181 11 232.296726 232.296726
3181 10 0.000000 0.000000
3181 8 0.000000 0.000000
3181 13 180.917054 180.917054
3181 6 144.008438 144.008438
3181 7 35.540449 35.540449
3181 15 0.000000 0.000000
3241 10 213.284023 213.284023
3241 8 184.733529 184.733529
3241 6 190.508438 190.508438
3241 15 245.000000 245.000000
3241 4 0.000000 0.000000
3241 5 0.000000 0.000000
3241 9 0.000000 0.000000
3241 13 31.572310 31.572310
3241 7 44.010987 44.010987
3241 11 0.000000 0.000000
3241 14 0.000000 0.000000
3241 12 0.000000 0.000000
3301 4 224.260298 224.260298
3301 5 238.900335 238.900335
3301 9 248.560500 248.560500
3301 14 238.195483 238.195483
3301 10 0.000000 0.000000
3301 6 0.000000 0.000000
3301 13 32.572310 32.572310
3301 7 42.510987 42.510987
3301 11 0.000000 0.000000
3301 12 0.000000 0.000000
3301 8 0.000000 0.000000
3361 10 158.531312 158.531312
3361 6 217.214778 217.214778
3361 7 99.646777 99.646777
3361 9 0.000000 0.000000
3361 11 0.000000 0.000000
3361 12 0.000000 0.000000
3361 13 51.072310 51.072310
3361 8 0.000000 0.000000
3361 14 0.000000 0.000000
3361 5 0.000000 0.000000
3361 4 0.000000 0.000000
3361 15 138.675000 138.675000
3421 10 267.036735 267.036735
3421 7 288.875197 288.875197
3421 11 200.296726 200.296726
3421 12 257.385559 257.385559
3421 6 0.000000 0.000000
3421 13 0.000000 0.000000
3421 8 0.000000 0.000000
3421 9 41.500000 41.500000
3421 14 0.000000 0.000000
3421 15 0.000000 0.000000
3421 5 0.000000 0.000000
3421 4 0.000000 0.000000
3481 6 278.008438 278.008438
3481 13 297.240658 297.240658
3481 8 245.233529 245.233529
3481 5 192.400335 192.400335
3481 4 206.260298 206.260298
3481 7 0.000000 0.000000
3481 12 0.000000 0.000000
3481 14 0.000000 0.000000
3481 15 0.000000 0.000000
3481 9 52.000000 52.000000
3481 11 0.000000 0.000000
3481 10 0.000000 0.000000
3541 7 280.510987 280.510987
3541 12 166.177713 166.177713
3541 14 298.036130 298.036130
3541 15 167.812500 167.812500
3541 11 311.796726 311.796726
3541 6 0.000000 0.000000
3541 13 42.610914 42.610914
3541 8 0.000000 0.000000
3541 9 137.000000 137.000000
3541 10 0.000000 0.000000
3541 4 0.000000 0.000000
3541 5 0.000000 0.000000
3601 6 247.261423 247.261423
3601 8 245.233529 245.233529
3601 9 223.040500 223.040500
3601 4 224.905857 224.905857
3601 15 242.687500 242.687500
3601 12 0.000000 0.000000
3601 14 0.000000 0.000000
3601 10 0.000000 0.000000
3601 13 55.950898 55.950898
3601 5 0.000000 0.000000
3601 11 0.000000 0.000000
3601 7 0.000000 0.000000
3661 12 215.885559 215.885559
3661 14 222.667784 222.667784
3661 10 246.284023 246.284023
3661 13 256.986769 256.986769
3661 11 226.537180 226.537180
3661 6 0.000000 0.000000
3661 5 0.000000 0.000000
3661 7 0.000000 0.000000
3661 15 0.000000 0.000000
3661 4 0.000000 0.000000
3661 9 0.000000 0.000000
3661 8 0.000000 0.000000
3721 12 149.385559 149.385559
3721 10 146.891953 146.891953
3721 6 246.781521 246.781521
3721 4 334.760298 334.760298
3721 9 294.160000 294.160000
3721 8 313.397878 313.397878
3721 13 0.000000 0.000000
3721 11 69.056272 69.056272
3721 7 46.178142 46.178142
3721 5 193.225285 193.225285
3721 15 0.000000 0.000000
3721 14 0.000000 0.000000
3781 13 216.109838 216.109838
3781 11 207.796726 207.796726
3781 7 215.510987 215.510987
3781 5 248.575384 248.575384
3781 15 198.000000 198.000000
3781 8 185.069180 185.069180
3781 10 0.000000 0.000000
3781 14 0.000000 0.000000
3781 9 0.000000 0.000000
3781 4 0.000000 0.000000
3781 6 0.000000 0.000000
3781 12 0.000000 0.000000
3841 10 245.284023 245.284023
3841 14 245.167784 245.167784
3841 12 236.600937 236.600937
3841 13 0.000000 0.000000
3841 7 0.000000 0.000000
3841 15 0.000000 0.000000
3841 9 0.000000 0.000000
3841 4 0.000000 0.000000
3841 6 0.000000 0.000000
3841 8 0.000000 0.000000
3841 5 0.000000 0.000000
3841 11 0.000000 0.000000
3901 14 135.964509 135.964509
3901 4 209.072358 209.072358
3901 13 299.037331 299.037331
3901 15 235.151500 235.151500
3901 8 173.467329 173.467329
3901 11 306.801118 306.801118
3901 9 40.214500 40.214500
3901 6 0.000000 0.000000
3901 7 182.510987 182.510987
3901 5 0.000000 0.000000
3901 12 0.000000 0.000000
3901 10 0.000000 0.000000
3961 9 205.500000 205.500000
3961 7 230.510987 230.510987
3961 12 215.885559 215.885559
3961 10 237.784023 237.784023
3961 5 193.125513 193.125513
3961 4 0.000000 0.000000
3961 13 0.000000 0.000000
3961 15 0.000000 0.000000
3961 6 13.381949 13.381949
3961 11 0.000000 0.000000
3961 8 0.000000 0.000000
3961 14 0.000000 0.000000
4021 4 224.260298 224.260298
