IT_NO ID MORTGAGES MORTGAGE_COST HOUSING_UNITS HOUSING_VALUE EQUITY_RATIO LIQUIDITY
1 427 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 426 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 425 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 422 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 418 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 417 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 409 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 402 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 385 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 384 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 372 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 370 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 366 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 360 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 348 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 344 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 339 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 331 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 311 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 308 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 305 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 303 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 289 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 277 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 262 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 257 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 254 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 250 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 244 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 236 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 233 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 227 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 224 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 219 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 215 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 202 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 200 357.156087 1.410579 6 600.000000 0.500000 13.589421
1 197 257.277932 1.080402 5 500.000000 0.500000 13.919598
