IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
2461 157 393022.711092 344580.098914 24262.178675 24180.433504 1725253.144265 0.000000 -1332230.433173
2461 156 347833.827721 299638.084199 25030.668206 23165.075316 1602439.665365 0.000000 -1254605.837644
2521 157 437551.150560 392250.874247 24262.178675 21038.097638 1769543.852824 0.000000 -1331992.702263
2521 156 390283.377627 344166.725208 25030.668206 21085.984213 1644655.099548 0.000000 -1254371.721920
2581 157 483653.097446 440003.983615 24262.178675 19386.935155 1815426.957738 0.000000 -1331773.860292
2581 156 431782.170725 388702.067198 25030.668206 18049.435320 1685933.270478 0.000000 -1254151.099753
2641 157 528550.241605 487662.785345 24262.178675 16625.277585 1860117.051244 0.000000 -1331566.809639
2641 156 474344.617773 433270.711812 25030.668206 16043.237755 1728291.955750 0.000000 -1253947.337977
2701 157 573857.341000 535323.315745 24262.178675 14271.846580 1905234.454713 0.000000 -1331377.113712
2701 156 516963.020833 477884.617770 25030.668206 14047.734856 1770719.859623 0.000000 -1253756.838791
2761 157 619159.377265 582987.462786 24262.178675 11909.735803 1950359.678243 0.000000 -1331200.300978
2761 156 560043.501273 522433.902071 25030.668206 12578.930996 1813623.250078 0.000000 -1253579.748805
2821 157 665036.840795 630687.062004 24262.178675 10087.600116 1996076.001167 0.000000 -1331039.160372
2821 156 603112.018084 567036.769212 25030.668206 11044.580666 1856522.338648 0.000000 -1253410.320564
2881 157 711313.532568 678393.491168 24262.178675 8657.862725 2042201.966144 0.000000 -1330888.433576
2881 156 646088.066652 611529.756391 25030.668206 9527.642055 1899339.745501 0.000000 -1253251.678849
2941 157 757002.657687 726152.147381 24262.178675 6588.331631 2087750.824976 0.000000 -1330748.167290
2941 156 687966.502152 656059.551537 25030.668206 6876.282409 1941068.994535 0.000000 -1253102.492384
3001 157 802892.036768 773799.863352 24262.178675 4829.994741 2133512.242892 0.000000 -1330620.206124
3001 156 730785.878058 700639.281908 25030.668206 5115.927944 1983752.728877 0.000000 -1252966.850819
3061 157 849157.282383 821517.220035 24262.178675 3377.883673 2179660.489566 0.000000 -1330503.207182
3061 156 773320.130783 745196.361583 25030.668206 3093.100993 2026166.506762 0.000000 -1252846.375980
3121 157 895822.966817 869052.251128 24262.178675 2508.537013 2226215.855907 0.000000 -1330392.889090
3121 156 817119.717589 789874.761833 25030.668206 2214.287550 2069855.265410 0.000000 -1252735.547821
3181 157 942401.625142 916769.946965 24262.178675 1369.499502 2272690.206670 0.000000 -1330288.581528
3181 156 860848.357559 834459.532355 25030.668206 1358.156998 2113478.554034 0.000000 -1252630.196475
3241 157 989884.319549 964551.832583 24262.178675 1070.308291 2320074.575343 0.000000 -1330190.255794
3241 156 904978.039573 878877.063079 25030.668206 1070.308288 2157506.467335 0.000000 -1252528.427762
3301 157 1037669.016471 1012343.731400 24262.178675 1063.106396 2367761.599669 0.000000 -1330092.583197
3301 156 949467.390220 923373.615621 25030.668206 1063.106393 2201895.263550 0.000000 -1252427.873329
3361 157 1085000.882052 1060034.797049 24262.178675 703.906328 2414995.837665 0.000000 -1329994.955612
3361 156 993996.524007 967909.996314 25030.668206 1055.859487 2246323.887916 0.000000 -1252327.363909
3421 157 1132268.028965 1107656.327857 24262.178675 349.522432 2462168.335228 0.000000 -1329900.306264
3421 156 1037593.570072 1012562.901865 25030.668206 0.000000 2289821.203089 0.000000 -1252227.633017
3481 157 1179884.539010 1155275.283828 24262.178675 347.076507 2509691.677588 0.000000 -1329807.138578
3481 156 1082188.045444 1057157.377237 25030.668206 0.000000 2334321.813455 0.000000 -1252133.768011
3541 157 1227204.426802 1202942.248123 24262.178675 0.000004 2556918.412982 0.000000 -1329713.986180
3541 156 1126823.547507 1101792.879301 25030.668206 0.000000 2378863.450512 0.000000 -1252039.903005
